title,source,price,ram_gb,memmory_gb,main_cam_mp,front_cam_mp,dual_cam,is_iphone_and_age
მობილური ტელეფონი infinix hot 11s (x6812b) 6gb/128gb green wave,be.ge,390,6.0,128.0,50.0,8.0,1,-1.0
მობილური ტელეფონი infinix smart 6 (x657b) 3gb/64gb quetzal cyan,be.ge,230,3.0,64.0,8.0,5.0,1,-1.0
მობილური ტელეფონი infinix hot 11s (x6812b) 4gb/64gb polar black,be.ge,300,4.0,64.0,50.0,8.0,1,-1.0
მობილური ტელეფონი infinix smart 6 (x6511) 2gb/32gb polar black,be.ge,200,2.0,32.0,8.0,5.0,1,-1.0
მობილური ტელეფონი infinix smart 6 (x6511) 2gb/32gb heart of ocean,be.ge,200,2.0,32.0,8.0,5.0,1,-1.0
მობილური ტელეფონი nokia g21 (ta-1418) 4gb/64gb blue,be.ge,490,4.0,64.0,50.0,8.0,1,-1.0
მობილური ტელეფონი samsung galaxy s22 5g (sm-s901bzkdcau) 8gb/128gb phantom black,be.ge,1972,8.0,128.0,50.0,10.0,1,-1.0
მობილური ტელეფონი apple iphone se (2022) 128gb starlight,be.ge,1669,4.0,128.0,12.0,7.0,0,1.0
მობილური ტელეფონი xiaomi redmi 10c (global version) 4gb/128gb blue,be.ge,349,4.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone 13 128gb green,be.ge,2284,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი xiaomi redmi 10c (global version) 4gb/128gb gray,be.ge,349,4.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone se (2022) 128gb red,be.ge,1669,4.0,128.0,12.0,7.0,0,1.0
მობილური ტელეფონი samsung galaxy s22 5g (sm-s901e/ds) 8gb/256gb bora purple,be.ge,1799,8.0,256.0,50.0,10.0,1,-1.0
მობილური ტელეფონი xiaomi poco c40 (global version) 4gb/64gb yellow,be.ge,259,4.0,64.0,13.0,5.0,1,-1.0
მობილური ტელეფონი zte a7 (2020) 2gb/32gb nfc blue,be.ge,219,2.0,32.0,16.0,8.0,1,-1.0
მობილური ტელეფონი motorola moto g60 (xt2135-2) 6gb/128gb moonless black,be.ge,545,6.0,128.0,108.0,32.0,1,-1.0
მობილური ტელეფონი xiaomi poco c40 (global version) 4gb/64gb black,be.ge,259,4.0,64.0,13.0,5.0,1,-1.0
მობილური ტელეფონი xiaomi poco c40 (global version) 4gb/64gb green,be.ge,259,4.0,64.0,13.0,5.0,1,-1.0
მობილური ტელეფონი oukitel wp18 4gb/32gb black,be.ge,599,4.0,32.0,12.0,5.0,0,-1.0
მობილური ტელეფონი oukitel wp20 4gb/32gb black,be.ge,549,4.0,32.0,20.0,5.0,1,-1.0
მობილური ტელეფონი oukitel wp20 4gb/32gb black/orange,be.ge,549,4.0,32.0,20.0,5.0,1,-1.0
მობილური ტელეფონი tecno pova neo (le6) 4gb/64gb obsidian black,be.ge,353,4.0,64.0,13.0,8.0,0,-1.0
მობილური ტელეფონი tecno pova neo (le6) 4gb/64gb geek blue,be.ge,353,4.0,64.0,13.0,8.0,0,-1.0
მობილური ტელეფონი tecno pova neo (le6h) 6gb/128gb obsidian black,be.ge,425,6.0,128.0,13.0,8.0,0,-1.0
მობილური ტელეფონი tecno pova neo (le6h) 6gb/128gb geek blue,be.ge,425,6.0,128.0,13.0,8.0,0,-1.0
მობილური ტელეფონი tecno pova 3 (lf7n) 6gb/128gb nfc eco black,be.ge,542,6.0,128.0,50.0,8.0,1,-1.0
მობილური ტელეფონი tecno pova 3 (lf7n) 6gb/128gb nfc tech silver,be.ge,542,6.0,128.0,50.0,8.0,1,-1.0
მობილური ტელეფონი tecno pova 3 (lf7n) 6gb/128gb nfc electric blue,be.ge,560,6.0,128.0,50.0,8.0,1,-1.0
მობილური ტელეფონი tecno pop 5 (bd4) 2gb/32gb deepsea luster,be.ge,275,2.0,32.0,8.0,5.0,0,-1.0
მობილური ტელეფონი samsung galaxy a04 (a045fd) 4gb/64gb black,be.ge,289,4.0,64.0,50.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone 14 pro 128gb gold,be.ge,3199,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი xiaomi redmi a1+ (global version) 2gb/32gb green,be.ge,200,2.0,32.0,8.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone 14 plus 128gb midnight,be.ge,2699,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი realme c30s (global version) 2gb/32gb black,be.ge,239,2.0,32.0,8.0,5.0,0,-1.0
მობილური ტელეფონი realme c30s (global version) 2gb/32gb blue,be.ge,239,2.0,32.0,8.0,5.0,0,-1.0
მობილური ტელეფონი samsung galaxy a04s (a047fd) 4gb/64gb copper,be.ge,364,4.0,64.0,50.0,5.0,1,-1.0
მობილური ტელეფონი samsung galaxy a04s (a047fd) 3gb/32gb black,be.ge,329,3.0,32.0,50.0,5.0,1,-1.0
მობილური ტელეფონი samsung galaxy a04s (a047f) 4gb/64gb green,be.ge,364,4.0,64.0,50.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone 14 256gb midnight,be.ge,2800,6.0,256.0,12.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 128gb midnight,be.ge,2564,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი samsung galaxy a04s (a047fd) 4gb/64gb black,be.ge,364,4.0,64.0,50.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone 14 pro 128gb space black,be.ge,3199,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი motorola moto e20 (xt2155-6) 2gb/32gb gray,be.ge,230,2.0,32.0,13.0,5.0,1,-1.0
მობილური ტელეფონი nokia g60 5g (ta-1479 ds) 6gb/128gb black,be.ge,686,6.0,128.0,50.0,8.0,1,-1.0
მობილური ტელეფონი xiaomi poco m5 (global version) 4gb/128gb green,be.ge,369,4.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი xiaomi poco m5 (global version) 4gb/128gb black,be.ge,369,4.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი xiaomi poco m5 (global version) 4gb/64gb black,be.ge,339,4.0,64.0,50.0,5.0,1,-1.0
მობილური ტელეფონი ulefone armor 9 8gb/128gb black,be.ge,1869,8.0,128.0,64.0,8.0,1,-1.0
მობილური ტელეფონი ulefone armor 14 4gb/64gb black,be.ge,899,4.0,64.0,20.0,16.0,1,-1.0
მობილური ტელეფონი cat s62 pro 6gb/128gb black,be.ge,2999,6.0,128.0,12.0,8.0,0,-1.0
მობილური ტელეფონი cat s42h+ 3gb/32gb black,be.ge,1399,3.0,32.0,13.0,5.0,0,-1.0
მობილური ტელეფონი tecno spark 8c (kg5k) 4gb/64gb magnet black,be.ge,335,4.0,64.0,13.0,8.0,0,-1.0
მობილური ტელეფონი xiaomi redmi note 11s (global version) 8gb/128gb blue,be.ge,599,8.0,128.0,108.0,16.0,1,-1.0
მობილური ტელეფონი samsung galaxy s21 fe 5g (g990b) 6gb/128gb graphite,be.ge,1581,6.0,128.0,12.0,32.0,1,-1.0
მობილური ტელეფონი realme c33 (rmx3624) 4gb/64gb blue,be.ge,334,4.0,64.0,50.0,5.0,1,-1.0
მობილური ტელეფონი realme c25y (global version) 4gb/64gb grey,be.ge,341,4.0,64.0,50.0,8.0,1,-1.0
მობილური ტელეფონი realme c33 (rmx3624) 4gb/128gb night sea,be.ge,357,4.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი realme c33 (rmx3624) 4gb/128gb aqua blue,be.ge,357,4.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი realme 9i (global version) 4gb/128gb blue,be.ge,511,4.0,128.0,50.0,16.0,1,-1.0
მობილური ტელეფონი realme 9i (global version) 4gb/128gb black,be.ge,511,4.0,128.0,50.0,16.0,1,-1.0
